Gene	Weight	Tendency	Symbol
ENSG00000026025	0.023301112	1	VIM
ENSG00000138326	-0.09945212	0	RPS24
ENSG00000185201	-0.031117192	0	IFITM2
ENSG00000177600	1.8848072e-05	1	RPLP2
ENSG00000130592	-0.09139707	0	LSP1
ENSG00000110700	0.026581163	1	RPS13
ENSG00000167996	0.10171846	1	FTH1
ENSG00000251562	-0.21355204	0	MALAT1
ENSG00000172757	-0.009781952	0	CFL1
ENSG00000172543	-0.2159623	0	CTSW
ENSG00000213402	-0.093604125	0	PTPRCAP
ENSG00000172725	0.050720584	1	CORO1B
ENSG00000084207	-0.040637087	0	GSTP1
ENSG00000149273	-0.00071861624	0	RPS3
ENSG00000198851	0.09628761	1	CD3E
ENSG00000167286	0.15222785	1	CD3D
ENSG00000160654	0.026058773	1	CD3G
ENSG00000167283	-0.013086372	0	ATP5L
ENSG00000118181	0.11142965	1	RPS25
ENSG00000109971	0.018125711	1	HSPA8
ENSG00000139193	0.1297269	1	CD27
ENSG00000111348	-0.005068287	0	ARHGDIB
ENSG00000111716	0.32951465	1	LDHB
ENSG00000092841	-0.040449876	0	MYL6
ENSG00000133639	0.027411448	1	BTG1
ENSG00000111229	-0.08265924	0	ARPC3
ENSG00000089009	1.3460208e-06	1	RPL6
ENSG00000089157	-0.00678572	0	RPLP0
ENSG00000122026	-0.0025431646	0	RPL21
ENSG00000133112	0.14452195	1	TPT1
ENSG00000188243	0.004274262	1	COMMD6
ENSG00000213741	0.049678285	1	RPS29
ENSG00000100650	0.03575637	1	SRSF5
ENSG00000140264	-0.05638113	0	SERF2
ENSG00000166710	-0.13222119	0	B2M
ENSG00000174444	0.041815773	1	RPL4
ENSG00000137818	-0.034189202	0	RPLP1
ENSG00000140988	-0.28786904	0	RPS2
ENSG00000008517	-2.6899471	0	IL32
ENSG00000134419	0.0686761	1	RPS15A
ENSG00000131143	-0.09420125	0	COX4I1
ENSG00000051523	-0.3447055	0	CYBA
ENSG00000167526	-0.075700976	0	RPL13
ENSG00000108518	0.3701485	1	PFN1
ENSG00000161970	-0.006591507	0	RPL26
ENSG00000170315	-0.07704569	0	UBB
ENSG00000161570	-0.35411242	0	CCL5
ENSG00000108298	-0.021791045	0	RPL19
ENSG00000108654	0.0035619917	1	DDX5
ENSG00000184009	1.1138798e-07	1	ACTG1
ENSG00000173762	-0.04083465	0	CD7
ENSG00000265681	0.0034547606	1	RPL17
ENSG00000197540	-0.018700836	0	GZMM
ENSG00000104904	-0.0065429034	0	OAZ1
ENSG00000104964	0.03070405	1	AES
ENSG00000167658	0.056952633	1	EEF2
ENSG00000130255	0.11117293	1	RPL36
ENSG00000171223	0.16398947	1	JUNB
ENSG00000160888	0.3454102	1	IER2
ENSG00000089327	0.0919486	1	FXYD5
ENSG00000126264	-0.06142079	0	HCST
ENSG00000178982	-0.03776646	0	EIF3K
ENSG00000105193	0.0036649043	1	RPS16
ENSG00000105372	-0.20881177	0	RPS19
ENSG00000105373	0.014732549	1	GLTSCR2
ENSG00000087086	-0.4178777	0	FTL
ENSG00000142541	-0.16536845	0	RPL13A
ENSG00000142546	0.097173125	1	NOSIP
ENSG00000170889	-0.07025253	0	RPS9
ENSG00000100316	-0.043068986	0	RPL3
ENSG00000198888	-0.14313497	0	MT-ND1
ENSG00000198763	-0.017551424	0	MT-ND2
ENSG00000198804	-0.21905164	0	MT-CO1
ENSG00000198712	-0.1812737	0	MT-CO2
ENSG00000198899	-0.014191859	0	MT-ATP6
ENSG00000198938	-0.07192085	0	MT-CO3
ENSG00000198886	-0.05830421	0	MT-ND4
