query,_id,_score,name,symbol,ensembl.gene,notfound,ensembl
FNDC10,643988,17.771803,fibronectin type III domain containing 10,FNDC10,ENSG00000228594,,
AL691432.2,,,,,,True,
MIB2,142678,17.530306,MIB E3 ubiquitin protein ligase 2,MIB2,ENSG00000197530,,
MMP23B,8510,18.245436,matrix metallopeptidase 23B,MMP23B,ENSG00000189409,,
CDK11B,984,18.89549,cyclin dependent kinase 11B,CDK11B,ENSG00000248333,,
FO704657.1,,,,,,True,
SLC35E2B,728661,18.804176,solute carrier family 35 member E2B,SLC35E2B,ENSG00000189339,,
CDK11A,728642,21.675142,cyclin dependent kinase 11A,CDK11A,ENSG00000008128,,
SLC35E2A,ENSG00000215790,7.5946655,solute carrier family 35 member E2A (pseudogene),SLC35E2A,ENSG00000215790,,
SLC35E2A,9906,7.5946655,solute carrier family 35 member E2A (pseudogene),SLC35E2A,,,
NADK,65220,17.472921,NAD kinase,NADK,ENSG00000008130,,
GNB1,2782,18.130314,G protein subunit beta 1,GNB1,ENSG00000078369,,
AL109917.1,,,,,,True,
CALML6,163688,18.900503,calmodulin like 6,CALML6,ENSG00000169885,,
TMEM52,339456,18.227768,transmembrane protein 52,TMEM52,ENSG00000178821,,
CFAP74,85452,17.645823,cilia and flagella associated protein 74,CFAP74,ENSG00000142609,,
AL391845.2,,,,,,True,
GABRD,2563,17.582512,gamma-aminobutyric acid type A receptor subunit delta,GABRD,ENSG00000187730,,
AL391845.1,,,,,,True,
PRKCZ,5590,17.641476,protein kinase C zeta,PRKCZ,ENSG00000067606,,
AL590822.2,,,,,,True,
PRKCZ-AS1,100506504,25.360682,PRKCZ antisense RNA 1,PRKCZ-AS1,ENSG00000182873,,
FAAP20,199990,18.588745,FA core complex associated protein 20,FAAP20,ENSG00000162585,,
AL590822.1,,,,,,True,
SKI,6497,18.20358,SKI proto-oncogene,SKI,ENSG00000157933,,
MORN1,79906,18.716278,MORN repeat containing 1,MORN1,ENSG00000116151,,
RER1,11079,17.44907,retention in endoplasmic reticulum sorting receptor 1,RER1,ENSG00000157916,,
PEX10,5192,17.485119,peroxisomal biogenesis factor 10,PEX10,ENSG00000157911,,
PLCH2,9651,18.159746,phospholipase C eta 2,PLCH2,,,"[{'gene': 'ENSG00000149527'}, {'gene': 'ENSG00000276429'}]"
AL139246.1,,,,,,True,
AL139246.4,,,,,,True,
PANK4,55229,17.58183,pantothenate kinase 4 (inactive),PANK4,,,"[{'gene': 'ENSG00000273494'}, {'gene': 'ENSG00000157881'}]"
HES5,388585,18.8449,hes family bHLH transcription factor 5,HES5,,,"[{'gene': 'ENSG00000273529'}, {'gene': 'ENSG00000197921'}]"
AL139246.5,,,,,,True,
TNFRSF14-AS1,ENSG00000238164,25.749779,TNFRSF14 antisense RNA 1,TNFRSF14-AS1,ENSG00000238164,,
TNFRSF14-AS1,ENSG00000281197,25.749779,TNFRSF14 antisense RNA 1,TNFRSF14-AS1,ENSG00000281197,,
TNFRSF14-AS1,115110,25.749779,TNFRSF14 antisense RNA 1,TNFRSF14-AS1,,,
TNFRSF14,8764,19.123957,TNF receptor superfamily member 14,TNFRSF14,,,"[{'gene': 'ENSG00000157873'}, {'gene': 'ENSG00000273936'}]"
AL139246.3,,,,,,True,
FAM213B,,,,,,True,
MMEL1,79258,17.645452,membrane metalloendopeptidase like 1,MMEL1,,,"[{'gene': 'ENSG00000277131'}, {'gene': 'ENSG00000142606'}]"
AL831784.1,,,,,,True,
TTC34,100287898,17.68271,tetratricopeptide repeat domain 34,TTC34,,,"[{'gene': 'ENSG00000275571'}, {'gene': 'ENSG00000215912'}]"
AC242022.1,,,,,,True,
AL592464.2,,,,,,True,
AL592464.1,,,,,,True,
AL589702.1,,,,,,True,
ACTRT2,140625,18.99083,actin related protein T2,ACTRT2,ENSG00000169717,,
LINC00982,,,,,,True,
PRDM16,63976,17.633602,PR/SET domain 16,PRDM16,ENSG00000142611,,
AL008733.1,,,,,,True,
AL590438.1,,,,,,True,
ARHGEF16,27237,17.64891,Rho guanine nucleotide exchange factor 16,ARHGEF16,ENSG00000130762,,
AL512413.1,,,,,,True,
MEGF6,1953,17.76665,multiple EGF like domains 6,MEGF6,ENSG00000162591,,
AL513320.1,,,,,,True,
TPRG1L,127262,17.652607,tumor protein p63 regulated 1 like,TPRG1L,ENSG00000158109,,
WRAP73,49856,17.565674,"WD repeat containing, antisense to TP73",WRAP73,ENSG00000116213,,
TP73,7161,17.587545,tumor protein p73,TP73,ENSG00000078900,,
AL136528.1,,,,,,True,
AL136528.2,,,,,,True,
CCDC27,148870,18.446787,coiled-coil domain containing 27,CCDC27,ENSG00000162592,,
SMIM1,388588,18.426966,small integral membrane protein 1 (Vel blood group),SMIM1,ENSG00000235169,,
LRRC47,57470,17.608715,leucine rich repeat containing 47,LRRC47,ENSG00000130764,,
AL365330.1,,,,,,True,
CEP104,9731,17.554045,centrosomal protein 104,CEP104,ENSG00000116198,,
DFFB,1677,17.57913,DNA fragmentation factor subunit beta,DFFB,ENSG00000169598,,
C1orf174,339448,22.34409,chromosome 1 open reading frame 174,C1orf174,ENSG00000198912,,
LINC01134,100133612,27.063417,long intergenic non-protein coding RNA 1134,LINC01134,ENSG00000236423,,
LINC01346,ENSG00000233304,26.268175,long intergenic non-protein coding RNA 1346,LINC01346,ENSG00000233304,,
LINC01346,728716,26.268175,long intergenic non-protein coding RNA 1346,LINC01346,,,
LINC01345,105376672,27.063105,long intergenic non-protein coding RNA 1345,LINC01345,ENSG00000226374,,
AL805961.1,,,,,,True,
AL805961.2,,,,,,True,
LINC01777,284661,27.059961,long intergenic non-protein coding RNA 1777,LINC01777,ENSG00000235054,,
AL355602.1,,,,,,True,
Z98747.1,,,,,,True,
LINC01646,105376679,27.063152,long intergenic non-protein coding RNA 1646,LINC01646,ENSG00000232596,,
AJAP1,55966,17.665386,adherens junctions associated protein 1,AJAP1,ENSG00000196581,,
BX005132.2,,,,,,True,
BX005132.1,,,,,,True,
AL691497.1,,,,,,True,
AL139823.1,,,,,,True,
Z98259.3,,,,,,True,
Z98259.2,,,,,,True,
Z98259.1,,,,,,True,
AL365255.1,,,,,,True,
NPHP4,261734,17.632315,nephrocystin 4,NPHP4,ENSG00000131697,,
KCNAB2,8514,17.31656,potassium voltage-gated channel subfamily A regulatory beta subunit 2,KCNAB2,ENSG00000069424,,
CHD5,26038,17.645452,chromodomain helicase DNA binding protein 5,CHD5,ENSG00000116254,,
RPL22,6146,12.771894,ribosomal protein L22,RPL22,ENSG00000116251,,
AL031847.1,,,,,,True,
RNF207,388591,18.22418,ring finger protein 207,RNF207,ENSG00000158286,,
ICMT,23463,17.50021,isoprenylcysteine carboxyl methyltransferase,ICMT,ENSG00000116237,,
LINC00337,,,,,,True,
HES3,390992,18.850069,hes family bHLH transcription factor 3,HES3,ENSG00000173673,,
GPR153,387509,18.380404,G protein-coupled receptor 153,GPR153,ENSG00000158292,,
ACOT7,11332,17.559834,acyl-CoA thioesterase 7,ACOT7,ENSG00000097021,,
AL031848.2,,,,,,True,
HES2,54626,18.678757,hes family bHLH transcription factor 2,HES2,ENSG00000069812,,
ESPN,83715,17.650217,espin,ESPN,ENSG00000187017,,
AL031848.1,,,,,,True,
TNFRSF25,8718,18.37217,TNF receptor superfamily member 25,TNFRSF25,ENSG00000215788,,
PLEKHG5,57449,18.258793,pleckstrin homology and RhoGEF domain containing G5,PLEKHG5,ENSG00000171680,,
NOL9,79707,17.580696,nucleolar protein 9,NOL9,ENSG00000162408,,
TAS1R1,80835,18.395794,taste 1 receptor member 1,TAS1R1,ENSG00000173662,,
ZBTB48,3104,17.67331,zinc finger and BTB domain containing 48,ZBTB48,ENSG00000204859,,
KLHL21,9903,17.617163,kelch like family member 21,KLHL21,ENSG00000162413,,
PHF13,148479,17.601728,PHD finger protein 13,PHF13,ENSG00000116273,,
THAP3,90326,18.64106,THAP domain containing 3,THAP3,ENSG00000041988,,
DNAJC11,55735,18.15903,DnaJ heat shock protein family (Hsp40) member C11,DNAJC11,ENSG00000007923,,
LINC01672,ENSG00000228750,26.27205,long intergenic non-protein coding RNA 1672,LINC01672,ENSG00000228750,,
LINC01672,100505887,26.27205,long intergenic non-protein coding RNA 1672,LINC01672,,,
AL591163.1,,,,,,True,
CAMTA1-DT,ENSG00000237436,26.273949,CAMTA1 divergent transcript,CAMTA1-DT,ENSG00000237436,,
CAMTA1-DT,110841581,26.273949,CAMTA1 divergent transcript,CAMTA1-DT,,,
CAMTA1,23261,18.193588,calmodulin binding transcription activator 1,CAMTA1,ENSG00000171735,,
AL512330.1,,,,,,True,
Z97987.1,,,,,,True,
AL365194.1,,,,,,True,
AL359881.3,,,,,,True,
AL359881.2,,,,,,True,
AL359881.1,,,,,,True,
VAMP3,9341,17.63911,vesicle associated membrane protein 3,VAMP3,ENSG00000049245,,
PER3,8863,17.814892,period circadian regulator 3,PER3,ENSG00000049246,,
Z98884.1,,,,,,True,
UTS2,10911,18.42225,urotensin 2,UTS2,ENSG00000049247,,
TNFRSF9,3604,18.31886,TNF receptor superfamily member 9,TNFRSF9,ENSG00000049249,,
PARK7,11315,17.562086,Parkinsonism associated deglycase,PARK7,ENSG00000116288,,
AL034417.4,,,,,,True,
AL034417.3,,,,,,True,
ERRFI1,54206,18.186708,ERBB receptor feedback inhibitor 1,ERRFI1,ENSG00000116285,,
AL034417.2,,,,,,True,
LINC01714,102724539,27.059961,long intergenic non-protein coding RNA 1714,LINC01714,ENSG00000227634,,
AL358876.2,,,,,,True,
SLC45A1,50651,17.594423,solute carrier family 45 member 1,SLC45A1,ENSG00000162426,,
RERE,473,18.210188,arginine-glutamic acid dipeptide repeats,RERE,ENSG00000142599,,
AL096855.1,,,,,,True,
AL357552.2,,,,,,True,
ENO1,2023,18.123821,enolase 1,ENO1,ENSG00000074800,,
ENO1-AS1,100505975,27.06384,ENO1 antisense RNA 1,ENO1-AS1,ENSG00000230679,,
CA6,765,17.672886,carbonic anhydrase 6,CA6,ENSG00000131686,,
SLC2A7,155184,19.879642,solute carrier family 2 member 7,SLC2A7,ENSG00000197241,,
SLC2A5,6518,19.093489,solute carrier family 2 member 5,SLC2A5,ENSG00000142583,,
GPR157,80045,17.626535,G protein-coupled receptor 157,GPR157,ENSG00000180758,,
MIR34AHG,106614088,27.059961,MIR34A host gene,MIR34AHG,ENSG00000228526,,
LINC01759,,,,,,True,
H6PD,9563,17.633602,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,H6PD,ENSG00000049239,,
SPSB1,80176,17.61871,splA/ryanodine receptor domain and SOCS box containing 1,SPSB1,ENSG00000171621,,
BX323043.1,,,,,,True,
AL928921.2,,,,,,True,
AL928921.1,,,,,,True,
SLC25A33,84275,17.61017,solute carrier family 25 member 33,SLC25A33,ENSG00000171612,,
TMEM201,199953,17.617163,transmembrane protein 201,TMEM201,ENSG00000188807,,
PIK3CD,5293,17.539703,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",PIK3CD,ENSG00000171608,,
PIK3CD-AS1,644997,26.270922,PIK3CD antisense RNA 1,PIK3CD-AS1,ENSG00000179840,,
PIK3CD-AS2,101929074,26.271631,PIK3CD antisense RNA 2,PIK3CD-AS2,ENSG00000231789,,
CLSTN1,22883,17.594866,calsyntenin 1,CLSTN1,ENSG00000171603,,
CTNNBIP1,56998,17.634699,catenin beta interacting protein 1,CTNNBIP1,ENSG00000178585,,
AL357140.1,,,,,,True,
LZIC,84328,17.538828,leucine zipper and CTNNBIP1 domain containing,LZIC,ENSG00000162441,,
NMNAT1,64802,17.689627,nicotinamide nucleotide adenylyltransferase 1,NMNAT1,ENSG00000173614,,
RBP7,116362,18.279655,retinol binding protein 7,RBP7,ENSG00000162444,,
UBE4B,10277,17.49157,ubiquitination factor E4B,UBE4B,ENSG00000130939,,
KIF1B,23095,17.492163,kinesin family member 1B,KIF1B,ENSG00000054523,,
AL139424.3,,,,,,True,
AL139424.2,,,,,,True,
PGD,5226,17.57501,phosphogluconate dehydrogenase,PGD,ENSG00000142657,,
AL139424.1,,,,,,True,
CENPS-CORT,100526739,27.063417,CENPS-CORT readthrough,CENPS-CORT,ENSG00000251503,,
CENPS,378708,17.952261,centromere protein S,CENPS,ENSG00000175279,,
CORT,1325,18.863201,cortistatin,CORT,ENSG00000241563,,
DFFA,1676,17.602467,DNA fragmentation factor subunit alpha,DFFA,ENSG00000160049,,
AL354956.1,,,,,,True,
PEX14,5195,17.410896,peroxisomal biogenesis factor 14,PEX14,ENSG00000142655,,
CASZ1,54897,17.548618,castor zinc finger 1,CASZ1,ENSG00000130940,,
AL139423.1,,,,,,True,
C1orf127,148345,24.1989,chromosome 1 open reading frame 127,C1orf127,ENSG00000175262,,
TARDBP,23435,18.024328,TAR DNA binding protein,TARDBP,ENSG00000120948,,
AL109811.4,,,,,,True,
MASP2,10747,17.683004,MBL associated serine protease 2,MASP2,ENSG00000009724,,
AL109811.3,,,,,,True,
SRM,6723,17.555841,spermidine synthase,SRM,ENSG00000116649,,
EXOSC10,5394,16.614891,exosome component 10,EXOSC10,ENSG00000171824,,
AL109811.1,,,,,,True,
AL109811.2,,,,,,True,
MTOR,2475,17.52302,mechanistic target of rapamycin kinase,MTOR,ENSG00000198793,,
MTOR-AS1,100873935,27.065735,MTOR antisense RNA 1,MTOR-AS1,ENSG00000225602,,
ANGPTL7,10218,17.67331,angiopoietin like 7,ANGPTL7,ENSG00000171819,,
UBIAD1,29914,17.572746,UbiA prenyltransferase domain containing 1,UBIAD1,ENSG00000120942,,
AL031291.1,,,,,,True,
DISP3,57540,17.633602,dispatched RND transporter family member 3,DISP3,ENSG00000204624,,
LINC01647,101929181,27.059961,long intergenic non-protein coding RNA 1647,LINC01647,ENSG00000235643,,
AL031731.1,,,,,,True,
FBXO2,26232,17.822561,F-box protein 2,FBXO2,ENSG00000116661,,
FBXO44,93611,19.63029,F-box protein 44,FBXO44,ENSG00000132879,,
FBXO6,26270,19.43779,F-box protein 6,FBXO6,ENSG00000116663,,
MAD2L2,10459,17.568865,mitotic arrest deficient 2 like 2,MAD2L2,ENSG00000116670,,
DRAXIN,374946,18.101309,dorsal inhibitory axon guidance protein,DRAXIN,ENSG00000162490,,
AGTRAP,57085,17.689892,angiotensin II receptor associated protein,AGTRAP,ENSG00000177674,,
C1orf167,284498,25.049507,chromosome 1 open reading frame 167,C1orf167,ENSG00000215910,,
AL953897.1,,,,,,True,
MTHFR,4524,17.617577,methylenetetrahydrofolate reductase,MTHFR,ENSG00000177000,,
CLCN6,1185,17.61564,chloride voltage-gated channel 6,CLCN6,ENSG00000011021,,
NPPA-AS1,100379251,27.059961,NPPA antisense RNA 1,NPPA-AS1,,,
NPPA,4878,18.110918,natriuretic peptide A,NPPA,ENSG00000175206,,
NPPB,4879,18.29489,natriuretic peptide B,NPPB,ENSG00000120937,,
KIAA2013,90231,17.662199,KIAA2013,KIAA2013,ENSG00000116685,,
PLOD1,5351,18.217434,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,ENSG00000083444,,
MFN2,9927,17.594866,mitofusin 2,MFN2,ENSG00000116688,,
MIIP,60672,17.776974,migration and invasion inhibitory protein,MIIP,ENSG00000116691,,
TNFRSF8,943,18.415194,TNF receptor superfamily member 8,TNFRSF8,ENSG00000120949,,
TNFRSF1B,7133,17.845816,TNF receptor superfamily member 1B,TNFRSF1B,ENSG00000028137,,
VPS13D,55187,17.579552,vacuolar protein sorting 13 homolog D,VPS13D,ENSG00000048707,,
AC243836.1,,,,,,True,
DHRS3,9249,18.09495,dehydrogenase/reductase 3,DHRS3,ENSG00000162496,,
AC254633.1,,,,,,True,
AADACL4,343066,18.763483,arylacetamide deacetylase like 4,AADACL4,ENSG00000204518,,
AADACL3,126767,19.638557,arylacetamide deacetylase like 3,AADACL3,ENSG00000188984,,
C1orf158,,,,,,True,
PRAMEF12,390999,22.608809,PRAME family member 12,PRAMEF12,ENSG00000116726,,
PRAMEF1,65121,25.046051,PRAME family member 1,PRAMEF1,ENSG00000116721,,
LINC01784,105376745,26.268175,long intergenic non-protein coding RNA 1784,LINC01784,ENSG00000228338,,
LINC01784,ENSG00000282162,26.268175,long intergenic non-protein coding RNA 1784,LINC01784,ENSG00000282162,,
PRAMEF11,440560,27.059961,PRAME family member 11,PRAMEF11,,,"[{'gene': 'ENSG00000281934'}, {'gene': 'ENSG00000239810'}]"
HNRNPCL1,343069,23.088127,heterogeneous nuclear ribonucleoprotein C like 1,HNRNPCL1,,,"[{'gene': 'ENSG00000282175'}, {'gene': 'ENSG00000179172'}]"
PRAMEF2,65122,27.065735,PRAME family member 2,PRAMEF2,,,"[{'gene': 'ENSG00000282817'}, {'gene': 'ENSG00000120952'}]"
PRAMEF4,400735,27.063547,PRAME family member 4,PRAMEF4,,,"[{'gene': 'ENSG00000282584'}, {'gene': 'ENSG00000243073'}]"
PRAMEF10,343071,24.790995,PRAME family member 10,PRAMEF10,,,"[{'gene': 'ENSG00000187545'}, {'gene': 'ENSG00000282663'}]"
PRAMEF7,441871,25.749384,PRAME family member 7,PRAMEF7,,,"[{'gene': 'ENSG00000204510'}, {'gene': 'ENSG00000279195'}]"
PRAMEF6,440561,26.271631,PRAME family member 6,PRAMEF6,,,"[{'gene': 'ENSG00000232423'}, {'gene': 'ENSG00000282119'}]"
PRAMEF27,101929983,25.750093,PRAME family member 27,PRAMEF27,,,"[{'gene': 'ENSG00000274764'}, {'gene': 'ENSG00000283425'}, {'gene': 'ENSG00000282437'}]"
HNRNPCL3,649330,27.063547,heterogeneous nuclear ribonucleoprotein C like 3,HNRNPCL3,,,"[{'gene': 'ENSG00000282559'}, {'gene': 'ENSG00000277058'}, {'gene': 'ENSG00000283292'}]"
PRAMEF25,441873,25.749828,PRAME family member 25,PRAMEF25,,,"[{'gene': 'ENSG00000283348'}, {'gene': 'ENSG00000276299'}, {'gene': 'ENSG00000282566'}, {'gene': 'ENSG00000229571'}]"
HNRNPCL2,440563,27.065735,heterogeneous nuclear ribonucleoprotein C like 2,HNRNPCL2,,,"[{'gene': 'ENSG00000274109'}, {'gene': 'ENSG00000282530'}, {'gene': 'ENSG00000283370'}, {'gene': 'ENSG00000275774'}]"
AC245056.1,,,,,,True,
PRAMEF26,645359,27.063417,PRAME family member 26,PRAMEF26,,,"[{'gene': 'ENSG00000283216'}, {'gene': 'ENSG00000280267'}, {'gene': 'ENSG00000281987'}]"
HNRNPCL4,101060301,27.059961,heterogeneous nuclear ribonucleoprotein C like 4,HNRNPCL4,,,"[{'gene': 'ENSG00000282095'}, {'gene': 'ENSG00000179412'}, {'gene': 'ENSG00000273865'}, {'gene': 'ENSG00000283231'}]"
PRAMEF9,343070,26.268175,PRAME family member 9,PRAMEF9,,,"[{'gene': 'ENSG00000281573'}, {'gene': 'ENSG00000283139'}, {'gene': 'ENSG00000282298'}, {'gene': 'ENSG00000204505'}]"
PRAMEF13,400736,27.059961,PRAME family member 13,PRAMEF13,,,"[{'gene': 'ENSG00000279169'}, {'gene': 'ENSG00000282741'}]"
PRAMEF18,391003,26.268175,PRAME family member 18,PRAMEF18,,,"[{'gene': 'ENSG00000292418'}, {'gene': 'ENSG00000282212'}, {'gene': 'ENSG00000279804'}, {'gene': 'ENSG00000277853'}]"
PRAMEF5,343068,26.271759,PRAME family member 5,PRAMEF5,,,"[{'gene': 'ENSG00000283150'}, {'gene': 'ENSG00000276420'}, {'gene': 'ENSG00000270601'}, {'gene': 'ENSG00000282424'}]"
PRAMEF8,391002,24.7907,PRAME family member 8,PRAMEF8,,,"[{'gene': 'ENSG00000282583'}, {'gene': 'ENSG00000182330'}, {'gene': 'ENSG00000278021'}, {'gene': 'ENSG00000283387'}]"
PRAMEF33,645382,27.06384,PRAME family member 33,PRAMEF33,,,"[{'gene': 'ENSG00000283488'}, {'gene': 'ENSG00000276370'}, {'gene': 'ENSG00000237700'}, {'gene': 'ENSG00000282125'}]"
PRAMEF15,653619,27.06384,PRAME family member 15,PRAMEF15,ENSG00000204501,,
AC243961.1,,,,,,True,
PRAMEF14,729528,24.792892,PRAME family member 14,PRAMEF14,ENSG00000204481,,
PRAMEF19,645414,25.360239,PRAME family member 19,PRAMEF19,ENSG00000204480,,
PRAMEF17,391004,24.374445,PRAME family member 17,PRAMEF17,ENSG00000204479,,
PRAMEF20,645425,23.169302,PRAME family member 20,PRAMEF20,ENSG00000204478,,
LRRC38,126755,18.254824,leucine rich repeat containing 38,LRRC38,ENSG00000162494,,
AL354712.1,,,,,,True,
PDPN,10630,18.342642,podoplanin,PDPN,ENSG00000162493,,
AL359771.1,,,,,,True,
PRDM2,7799,18.186625,PR/SET domain 2,PRDM2,ENSG00000116731,,
KAZN,23254,18.28766,"kazrin, periplakin interacting protein",KAZN,ENSG00000189337,,
AL357873.1,,,,,,True,
KAZN-AS1,105376762,27.063417,KAZN antisense RNA 1,KAZN-AS1,ENSG00000234593,,
TMEM51-AS1,200197,27.063152,TMEM51 antisense RNA 1,TMEM51-AS1,ENSG00000175147,,
TMEM51,55092,18.231522,transmembrane protein 51,TMEM51,ENSG00000171729,,
C1orf195,,,,,,True,
FHAD1,114827,18.101309,forkhead associated phosphopeptide binding domain 1,FHAD1,ENSG00000142621,,
AL031283.2,,,,,,True,
AL031283.3,,,,,,True,
AL031283.1,,,,,,True,
EFHD2,79180,17.836218,EF-hand domain family member D2,EFHD2,ENSG00000142634,,
CTRC,11330,19.120811,chymotrypsin C,CTRC,ENSG00000162438,,
CELA2A,63036,22.07065,chymotrypsin like elastase 2A,CELA2A,ENSG00000142615,,
CELA2B,51032,23.776976,chymotrypsin like elastase 2B,CELA2B,ENSG00000215704,,
CASP9,842,17.61336,caspase 9,CASP9,ENSG00000132906,,
DNAJC16,23341,17.707512,DnaJ heat shock protein family (Hsp40) member C16,DNAJC16,ENSG00000116138,,
AL121992.3,,,,,,True,
AGMAT,79814,17.604364,agmatinase (putative),AGMAT,ENSG00000116771,,
AL121992.1,,,,,,True,
DDI2,84301,18.104897,DNA damage inducible 1 homolog 2,DDI2,ENSG00000197312,,
RSC1A1,6248,20.090933,regulator of solute carriers 1,RSC1A1,ENSG00000215695,,
AL121992.2,,,,,,True,
